Value,Disaggregation combinations using this value,Number of indicators
Prevalence of severe food insecurity in the population (%),1,1
Primary completion rate (%),3,1
Primary energy consumed (Biomass) (%),1,1
Primary energy consumed (Fossil fuel) (%),1,1
Primary energy consumed (Gas) (%),1,1
Primary energy consumed (Hydropower) (%),1,1
Primary energy consumed (Petroleum products) (%),1,1
Proportion des petites entreprises ayant contracté un prêt bancaire à la création,1,1
Proportion des très petites entreprises ayant contracté un prêt bancaire à la création,1,1
Proportion of children aged 5-17 years engaged in child labour (%),5,1
Proportion of children moderately or severely overweight [2.2.2],1,1
Proportion of children moderately or severely wasted [2.2.2],1,1
"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or emotional/psychological violence (%)",1,1
Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],1,1
Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],1,1
Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],1,1
Proportion of population living in households with access to electricity (%),3,1
Proportion of population living in households with access to potable water (%),3,1
Proportion of population with access to electricity [7.1.1],15,1
Proportion of pre-schools with access to water (%),1,1
Proportion of preschools with access to electricity (%),1,1
Proportion of preschools with access to sanitation facilities (%),1,1
Proportion of primary schools with access to electricity (%),1,1
Proportion of primary schools with access to sanitation facilities (%),1,1
Proportion of primary schools with access to water (%),1,1
Proportion of qualified teachers in primary school (%),3,1
Proportion of the population that has suffered at least one form of discrimination (%),1,1
"Proportion of the population using clean technologies (LPG, Natural gas, Biogas, Agricultural residues, Bouses) for cooking (%)",15,1
Proportion of the population who reported being victim of at least one form of discrimination (%),3,1
"Proportion of the population with a hand-washing place with water, soap (%)",3,1
Proportion of the total adult population evicted from their dwelling in the past 5 years (%),3,1
Proportion of the total adult population thinking that they are at risk of being evicted from their home (%),3,1
Proportion of the total adult population whose household does not have a secure dwelling (%),3,1
Proportion of total adult population with no legally recognized document for the  occupied dwelling (%),3,1
"Proportion of women aged 15 to 49, married, using a modern method of contraception (%)",7,1
"Proportion of women aged 15 to 49, married, using a modern or traditional method of contraception (%)",7,1
"Proportion of women aged 15 to 49, married, using a traditional method of contraception (%)",7,1
Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],7,1
Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],7,1
Proportion of women in government (%),1,1
Proportion of women in the municipal executive (Mayor) (%),1,1
Proportion of women in the national assembly (%),1,1
Proportion of women in the Senate (%),1,1
Pupil/teacher ratio in preschool,1,1
Pupil/teacher ratio in primary school,1,1
Real GDP growth rate (%),1,1
Share of Research and development (R & D) to GDP (%),1,1
Share of Research and Development (R & D) to total investment (%),1,1
Under-five mortality rate [3.2.1],1,1
Underemployment rate of persons over 15 years (%),1,1
unemployment rate (ILO) (15-24 years) (%),1,1
unemployment rate (ILO) (%),5,1
