Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Milieu de résidence,Niveau d'Etude,UNIT_MEASURE,GeoCode,Value
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne (%)",,,,Pour cent,,15.4
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,Urbain,,Pour cent,,42.4
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,Urbain,,Pour cent,,26.1
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,Rural,,Pour cent,,27.7
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,Rural,,Pour cent,,13.1
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,Sans niveau scolaire,Pour cent,,14.9
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,Primaire,Pour cent,,37.7
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,Secondaire,Pour cent,,47.6
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,Enseignement Supérieur,Pour cent,,48.5
2014,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,,Pour cent,,34.4
2018,Valeur Normale,Unité,C,National_SDG_Report,"Proportion de femmes âgées de 15 à 49 ans, actuellement mariées ou en union, utilisant  une méthode de contraception moderne ou traditionnelle (%)",,,,Pour cent,,19.3
