Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2021,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4852.65552
2022,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,5109.239136
2023,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,5137.069657
2024,Valeur Normale,Milliards,C,National Institute of Statistics,Importations des biens et services (en Milliards de Francs CFA) (Prix constant Base 100 Année 2016),,Francs CFA XAF,,4985.67186
2011,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.9
2012,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.4
2013,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.1
2014,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,1.9
2015,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.7
2016,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,0.9
2017,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,0.6
2018,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,1.1
2019,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.5
2020,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.5
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,2.3
2022,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,6.3
2023,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,7.4
2024,Valeur Normale,Unité,C,National Institute of Statistics,Taux d'inflation (%),,Pour cent,,4.5
