Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,Milieu de résidence,UNIT_MEASURE,GeoCode,Value
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),NORD,,,Pour cent,CM_NO,1.8
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),NORD-OUEST,,,Pour cent,CM_NW,5.1
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),OUEST,,,Pour cent,CM_OU,5.5
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),SUD,,,Pour cent,CM_SU,2.2
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),SUD-OUEST,,,Pour cent,CM_SW,8.0
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),DOUALA,,,Pour cent,CM_DLA,15.4
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),YAOUNDE,,,Pour cent,CM_YDE,11.7
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),LITTORAL (Hormis DOUALA),,,Pour cent,CM_LT_Sans_DLA,7.3
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),CENTRE (Hormis YAOUNDE),,,Pour cent,CM_CE_Sans_YDE,2.9
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Féminin,,Pour cent,,7.5
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,Masculin,,Pour cent,,5.1
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Urbain,Pour cent,,9.4
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (%),,,Rural,Pour cent,,1.6
2005,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (15-24 ans) (%),,,,Pour cent,,7.6
2010,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (15-24 ans) (%),,,,Pour cent,,6.4
2021,Valeur Normale,Unité,C,National Institute of Statistics,Taux de chômage au sens du BIT (15-24 ans) (%),,,,Pour cent,,10.1
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux de sous emploi des personnes âgées de plus de 15 ans (%),,,,Pour cent,,77.6
