Year,SERIES,UNIT_MEASURE,Time period details,Value
2022,"Exports of services (billions of CFA francs) (Constant price, Base period Year 2016)",Local currency,2022,1012.3
2011,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.9
2012,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.4
2013,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.1
2014,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,1.9
2015,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.7
2016,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,0.9
2017,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,0.6
2018,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,1.1
2019,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.5
2020,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.5
2021,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.3
2022,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,6.2
2023,"Annual inflation, consumer prices (%) [17.13.1]",Percent,2023,2.9
