Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,4160.072
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,4613.888
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,3575.625
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,4120.675
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,5344.759
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,4990.045
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_04,,Local currency,,5064.981
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,4346.095
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,4369.905
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,4851.727
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,5468.867
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,4342.41
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,5047.519
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,6075.897
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,6229.076
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_05,,Local currency,,6052.784
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3797.304
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3737.652
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3817.240187
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,4245.647328
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3635.926654
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3762.58528
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3871.56459
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3885.025493
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_06,,Local currency,,3688.807783
2016,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4346.095
2017,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4293.662
2018,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4657.334235
2019,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,5186.229636
2020,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4301.868259
2021,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4852.65552
2022,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,5109.239136
2023,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,5137.069657
2024,Normal value,Billions,Country Data,National Institute of Statistics,_L_CM_171301_07,,Local currency,,4985.67186
2011,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.9
2012,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.4
2013,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.1
2014,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,1.9
2015,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.7
2016,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,0.9
2017,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,0.6
2018,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,1.1
2019,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.5
2020,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.5
2021,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,2.3
2022,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,6.3
2023,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,7.4
2024,Normal value,Units,Country Data,National Institute of Statistics,_L_CM_171301_08,,Percent,,4.5
